Alliance:,Unnamed: 1,Guilds,Unnamed: 3,Unnamed: 4,AP,DMP,DoT,DT,HoJ,LK,LC,MC,Moogooloo,MW,RR,CoB,ThroB,ToD,YH,Notes:,Alliance Guild IDs:,World ID
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
